"","d","d","d"
"1","0.100206572244789","Music","Slow.songs.or.fast.songs"
"2","0.208587330907964","Music","Movies"
"3","0.019379342493593","Music","History"
"4","0.0539093809549759","Music","Psychology"
"5","-0.0727676771740442","Music","Politics"
"6","-0.0697024698184853","Music","Mathematics"
"7","-0.0688482723544217","Music","Physics"
"8","0.146442155206664","Music","Internet"
"9","0.0141503573088283","Music","PC"
"10","-0.0253455150988263","Music","Economy.Management"
"11","0.0416706495065124","Music","Biology"
"12","0.000385719921377626","Music","Chemistry"
"13","0.0588222882304377","Music","Reading"
"14","-0.00341999423126574","Music","Geography"
"15","0.143989214219295","Music","Foreign.languages"
"16","0.0417007855711788","Music","Medicine"
"17","-0.0336741766220643","Music","Law"
"18","-0.00667335640649053","Music","Cars"
"19","0.0612180855510245","Music","Art.exhibitions"
"20","-0.0196741428641237","Music","Religion"
"21","0.0677411783662778","Music","Countryside..outdoors"
"22","0.0974105884838704","Music","Dancing"
"23","0.0923067820038081","Music","Musical.instruments"
"24","0.0322452726118613","Music","Writing"
"25","0.00460784010387744","Music","Passive.sport"
"26","0.0209917323476769","Music","Active.sport"
"27","-0.0462493972456618","Music","Gardening"
"28","0.0472275196555705","Music","Celebrities"
"29","0.116077715478498","Music","Shopping"
"30","0.0405311657631734","Music","Science.and.technology"
"31","0.0932312422980234","Music","Theatre"
"32","0.228091915651931","Music","Fun.with.friends"
"33","0.0381365768106305","Music","Adrenaline.sports"
"34","0.0711434982090485","Music","Pets"
"35","-0.0227564668995138","Music","Flying"
"36","0.00941052632825551","Music","Storm"
"37","0.0190365973933769","Music","Darkness"
"38","-0.04243570109853","Music","Heights"
"39","0.0719574709577701","Music","Spiders"
"40","0.0555783348130511","Music","Snakes"
"41","0.0527613669776793","Music","Rats"
"42","0.0147870758932197","Music","Ageing"
"43","-0.0137412809862706","Music","Dangerous.dogs"
"44","0.0220050308228661","Music","Fear.of.public.speaking"
"45","0.0581041199729834","Music","Healthy.eating"
"46","0.0498749632961287","Music","Daily.events"
"47","-0.0456138037786812","Music","Prioritising.workload"
"48","0.0410597260391969","Music","Writing.notes"
"49","0.0245455571360376","Music","Workaholism"
"50","0.00526476505217281","Music","Thinking.ahead"
"51","-0.00340579777010569","Music","Final.judgement"
"52","0.0474980248564215","Music","Reliability"
"53","0.0707135702252559","Music","Keeping.promises"
"54","0.00939299460035025","Music","Loss.of.interest"
"55","0.0717438448243574","Music","Friends.versus.money"
"56","0.0595732471283098","Music","Funniness"
"57","-0.0427232317006573","Music","Fake"
"58","0.0323979733797154","Music","Criminal.damage"
"59","0.0504088888551427","Music","Decision.making"
"60","0.00761511504169866","Music","Elections"
"61","0.0408189489391622","Music","Self.criticism"
"62","0.0781303320245416","Music","Judgment.calls"
"63","-0.00646751840479587","Music","Hypochondria"
"64","0.102719776692563","Music","Empathy"
"65","-0.0817128392347536","Music","Eating.to.survive"
"66","0.0567481982955401","Music","Giving"
"67","0.112659541216071","Music","Compassion.to.animals"
"68","0.0701475152447965","Music","Borrowed.stuff"
"69","0.060560555262901","Music","Loneliness"
"70","0.0532560888609953","Music","Cheating.in.school"
"71","0.0462078580630121","Music","Health"
"72","0.00813123772492969","Music","Changing.the.past"
"73","-0.0230906693411303","Music","God"
"74","-0.00722350673845526","Music","Dreams"
"75","-0.0295941516839097","Music","Charity"
"76","0.104105942447664","Music","Number.of.friends"
"77","0.0246717256927278","Music","Waiting"
"78","0.0292752872607195","Music","New.environment"
"79","0.041477639198975","Music","Mood.swings"
"80","0.11121722134779","Music","Appearence.and.gestures"
"81","0.0837402404870185","Music","Socializing"
"82","0.00651891465373677","Music","Achievements"
"83","-0.0190156649106518","Music","Responding.to.a.serious.letter"
"84","0.0585425632227208","Music","Children"
"85","0.0327334804027094","Music","Assertiveness"
"86","0.0192321187072712","Music","Getting.angry"
"87","0.0241928716594787","Music","Knowing.the.right.people"
"88","0.0228377898235451","Music","Public.speaking"
"89","0.0254528333179031","Music","Unpopularity"
"90","0.045979146069932","Music","Life.struggles"
"91","0.0450037509948859","Music","Happiness.in.life"
"92","0.0522764587913655","Music","Energy.levels"
"93","-0.013770715835761","Music","Small...big.dogs"
"94","0.0473285405362985","Music","Personality"
"95","0.0138389581335221","Music","Finding.lost.valuables"
"96","0.0885106425020594","Music","Getting.up"
"97","0.0977585273603259","Music","Interests.or.hobbies"
"98","0.0190923141107798","Music","Parents..advice"
"99","0.0847121719871498","Music","Questionnaires.or.polls"
"100","-0.0768294743889803","Music","Age"
"101","-0.00981185039813953","Music","Number.of.siblings"
"102","0.100206572244789","Slow.songs.or.fast.songs","Music"
"103","1","Slow.songs.or.fast.songs","Slow.songs.or.fast.songs"
"104","0.00847490526038522","Slow.songs.or.fast.songs","Movies"
"105","-0.00809399169214097","Slow.songs.or.fast.songs","History"
"106","-0.049273969473845","Slow.songs.or.fast.songs","Psychology"
"107","-0.027192589090407","Slow.songs.or.fast.songs","Politics"
"108","0.0155935416860302","Slow.songs.or.fast.songs","Mathematics"
"109","0.000319076651547517","Slow.songs.or.fast.songs","Physics"
"110","0.0878585212005839","Slow.songs.or.fast.songs","Internet"
"111","0.108702297613733","Slow.songs.or.fast.songs","PC"
"112","0.026224754731919","Slow.songs.or.fast.songs","Economy.Management"
"113","0.0233473734174162","Slow.songs.or.fast.songs","Biology"
"114","-0.00341774910873627","Slow.songs.or.fast.songs","Chemistry"
"115","-0.129710350241222","Slow.songs.or.fast.songs","Reading"
"116","0.0328758835227405","Slow.songs.or.fast.songs","Geography"
"117","-0.00662766177261687","Slow.songs.or.fast.songs","Foreign.languages"
"118","-0.0168842634391509","Slow.songs.or.fast.songs","Medicine"
"119","-0.0141366956086622","Slow.songs.or.fast.songs","Law"
"120","0.116436681931421","Slow.songs.or.fast.songs","Cars"
"121","-0.109467681068524","Slow.songs.or.fast.songs","Art.exhibitions"
"122","-0.0160420558093793","Slow.songs.or.fast.songs","Religion"
"123","-0.0305655700003612","Slow.songs.or.fast.songs","Countryside..outdoors"
"124","0.0210942514026309","Slow.songs.or.fast.songs","Dancing"
"125","-0.0559440968428307","Slow.songs.or.fast.songs","Musical.instruments"
"126","-0.0872874844854855","Slow.songs.or.fast.songs","Writing"
"127","0.0832135785539647","Slow.songs.or.fast.songs","Passive.sport"
"128","0.107427974243534","Slow.songs.or.fast.songs","Active.sport"
"129","0.00422935358521558","Slow.songs.or.fast.songs","Gardening"
"130","0.0215972995328747","Slow.songs.or.fast.songs","Celebrities"
"131","0.018046439743424","Slow.songs.or.fast.songs","Shopping"
"132","0.0189343109516404","Slow.songs.or.fast.songs","Science.and.technology"
"133","-0.137743485563698","Slow.songs.or.fast.songs","Theatre"
"134","0.0841312831667838","Slow.songs.or.fast.songs","Fun.with.friends"
"135","0.150778157940691","Slow.songs.or.fast.songs","Adrenaline.sports"
"136","0.031664934458218","Slow.songs.or.fast.songs","Pets"
"137","-0.0138310094073488","Slow.songs.or.fast.songs","Flying"
"138","0.0248245615687387","Slow.songs.or.fast.songs","Storm"
"139","-0.0427437750097787","Slow.songs.or.fast.songs","Darkness"
"140","0.031391906106081","Slow.songs.or.fast.songs","Heights"
"141","-0.0508560672242237","Slow.songs.or.fast.songs","Spiders"
"142","-0.0443057634526445","Slow.songs.or.fast.songs","Snakes"
"143","-0.0334517488117212","Slow.songs.or.fast.songs","Rats"
"144","-0.0437704560374936","Slow.songs.or.fast.songs","Ageing"
"145","-0.0413890070407656","Slow.songs.or.fast.songs","Dangerous.dogs"
"146","-0.0625901319738591","Slow.songs.or.fast.songs","Fear.of.public.speaking"
"147","-0.0138357112793368","Slow.songs.or.fast.songs","Healthy.eating"
"148","0.0235494259544707","Slow.songs.or.fast.songs","Daily.events"
